end_use,time_range,variable,region,period,unit,value
Civ,1900-1949,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1900-1949,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1900-1949,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1950-1969,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1950-1969,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1970-1979,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1970-1979,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1980-1989,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1980-1989,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1990-1999,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1990-1999,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,2000-2015,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,2000-2015,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,2000-2015,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,2000-2015,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,2000-2015,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,2000-2015,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,2000-2015,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,2000-2015,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,2016-2023,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,2016-2023,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,2016-2023,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,2016-2023,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,2016-2023,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,2016-2023,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,2016-2023,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,2016-2023,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
NonRes,1900-1949,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,1900-1949,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,1900-1949,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,1900-1949,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,1900-1949,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,1900-1949,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,1900-1949,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
NonRes,1950-1969,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,1950-1969,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,1950-1969,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,1950-1969,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,1950-1969,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,1950-1969,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,1950-1969,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
NonRes,1970-1979,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,1970-1979,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,1970-1979,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,1970-1979,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,1970-1979,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,1970-1979,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,1970-1979,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
NonRes,1980-1989,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,1980-1989,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,1980-1989,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,1980-1989,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,1980-1989,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,1980-1989,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,1980-1989,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
NonRes,1990-1999,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,1990-1999,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,1990-1999,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,1990-1999,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,1990-1999,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,1990-1999,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,1990-1999,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
NonRes,2000-2015,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,2000-2015,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,2000-2015,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,2000-2015,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,2000-2015,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,2000-2015,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,2000-2015,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
NonRes,2016-2023,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
NonRes,2016-2023,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
NonRes,2016-2023,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
NonRes,2016-2023,Buildings and Infrastructure Lifetime,India,2025,a,31.0
NonRes,2016-2023,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
NonRes,2016-2023,Buildings and Infrastructure Lifetime,Japan,2025,a,37.8
NonRes,2016-2023,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,1900-1949,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,1900-1949,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,1900-1949,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,1900-1949,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,1900-1949,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,1900-1949,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,1900-1949,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,1900-1949,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,1950-1969,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,1950-1969,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,1950-1969,Buildings and Infrastructure Lifetime,China,2025,a,39.41
Res,1950-1969,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,1950-1969,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,1950-1969,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,1950-1969,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,1950-1969,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,1950-1969,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,1970-1979,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,1970-1979,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,1970-1979,Buildings and Infrastructure Lifetime,China,2025,a,37.05
Res,1970-1979,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,1970-1979,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,1970-1979,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,1970-1979,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,1970-1979,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,1970-1979,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,1980-1989,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,1980-1989,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,1980-1989,Buildings and Infrastructure Lifetime,China,2025,a,25.29
Res,1980-1989,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,1980-1989,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,1980-1989,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,1980-1989,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,1980-1989,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,1980-1989,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,1990-1999,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,1990-1999,Buildings and Infrastructure Lifetime,China,2025,a,26.6
Res,1990-1999,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,1990-1999,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,1990-1999,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,2000-2015,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,2000-2015,Buildings and Infrastructure Lifetime,China,2025,a,33.83
Res,2000-2015,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,2000-2015,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,2000-2015,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
Res,2016-2023,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,2016-2023,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,2016-2023,Buildings and Infrastructure Lifetime,Europe,2025,a,75.0
Res,2016-2023,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,2016-2023,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Res,2016-2023,Buildings and Infrastructure Lifetime,Japan,2025,a,34.0
Res,2016-2023,Buildings and Infrastructure Lifetime,Rest of South America,2025,a,60.5
Res,2016-2023,Buildings and Infrastructure Lifetime,USA,2025,a,80.0
